"last_name, first_name",player_id,year,woba,est_woba,est_woba_minus_woba_diff
"Pérez, Roberto",547379,2020,0.228,0.267,-0.039
"Madrigal, Nick",663611,2020,0.332,0.314,0.018
"Wolters, Tony",547172,2020,0.249,0.294,-0.045
"Paredes, Isaac",670623,2020,0.255,0.247,0.008
"Walsh, Jared",665120,2020,0.393,0.355,0.038
"Calhoun, Willie",641432,2020,0.217,0.234,-0.017
"Jones, JaCoby",592444,2020,0.358,0.321,0.037
"Holt, Brock",571788,2020,0.253,0.265,-0.012
"Rengifo, Luis",650859,2020,0.227,0.259,-0.032
"Stassi, Max",545358,2020,0.37,0.39,-0.02
"Wade, Tyler",642180,2020,0.271,0.31,-0.039
"Naylor, Josh",647304,2020,0.274,0.309,-0.035
"Slater, Austin",596103,2020,0.395,0.416,-0.021
"Barnes, Austin",605131,2020,0.306,0.274,0.032
"Bruce, Jay",457803,2020,0.297,0.322,-0.025
"Fuentes, Joshua",658069,2020,0.323,0.27,0.053
"Gosselin, Phil",594838,2020,0.313,0.295,0.018
"Ward, Taylor",621493,2020,0.314,0.309,0.005
"Donaldson, Josh",518626,2020,0.362,0.347,0.015
"Olivares, Edward",658668,2020,0.275,0.286,-0.011
"Adrianza, Ehire",501303,2020,0.257,0.279,-0.022
"Maybin, Cameron",457727,2020,0.302,0.298,0.004
"Fowler, Dexter",451594,2020,0.31,0.292,0.018
"Kendrick, Howie",435062,2020,0.298,0.332,-0.034
"Ruf, Darin",573131,2020,0.379,0.353,0.026
"Alfaro, Jorge",595751,2020,0.271,0.283,-0.012
"Lamb, Jake",571875,2020,0.281,0.328,-0.047
"Taylor, Michael A.",572191,2020,0.287,0.325,-0.038
"Dahl, David",621311,2020,0.208,0.234,-0.026
"Davis, Khris",501981,2020,0.284,0.32,-0.036
"Stewart, Christin",621514,2020,0.23,0.274,-0.044
"Brosseau, Mike",670712,2020,0.394,0.318,0.076
"Martínez, José",500874,2020,0.248,0.288,-0.04
"Toro, Abraham",647351,2020,0.234,0.284,-0.05
"Hayes, Ke'Bryan",663647,2020,0.464,0.367,0.097
"Stanton, Giancarlo",519317,2020,0.379,0.413,-0.034
"Sandoval, Pablo",467055,2020,0.252,0.292,-0.04
"Bonifacio, Jorge",593528,2020,0.266,0.255,0.011
"Pérez, Michael",605421,2020,0.217,0.303,-0.086
"Casali, Curt",592200,2020,0.372,0.308,0.064
"Engel, Adam",641553,2020,0.347,0.3,0.047
"Mercado, Óscar",640458,2020,0.159,0.193,-0.034
"Dalbec, Bobby",666915,2020,0.4,0.351,0.049
"Luplow, Jordan",656669,2020,0.293,0.3,-0.007
"Castro, Jason",488771,2020,0.294,0.352,-0.058
"Haseley, Adam",656514,2020,0.305,0.303,0.002
"Harrison, Josh",543281,2020,0.335,0.362,-0.027
"Ervin, Phillip",640447,2020,0.239,0.251,-0.012
"Plawecki, Kevin",608700,2020,0.373,0.315,0.058
"Knapp, Andrew",595284,2020,0.372,0.366,0.006
"Straw, Myles",664702,2020,0.223,0.255,-0.032
"Guzmán, Ronald",608597,2020,0.323,0.318,0.005
"McBroom, Ryan",643436,2020,0.33,0.3,0.03
"Zunino, Mike",572287,2020,0.261,0.288,-0.027
"Santana, Domingo",570267,2020,0.271,0.307,-0.036
"Ford, Mike",645801,2020,0.224,0.315,-0.091
"Hedges, Austin",595978,2020,0.232,0.277,-0.045
"Trevino, Jose",624431,2020,0.3,0.319,-0.019
"Ríos, Edwin",621458,2020,0.385,0.397,-0.012
"Locastro, Tim",641796,2020,0.376,0.344,0.032
"Osuna, José",591741,2020,0.273,0.33,-0.057
"Chirinos, Robinson",455139,2020,0.216,0.231,-0.015
"Strange-Gordon, Dee",543829,2020,0.226,0.262,-0.036
"Garver, Mitch",641598,2020,0.232,0.24,-0.008
"Vogt, Stephen",519390,2020,0.235,0.257,-0.022
"León, Sandy",506702,2020,0.259,0.301,-0.042
"Araúz, Jonathan",660620,2020,0.291,0.325,-0.034
"Flowers, Tyler",452095,2020,0.303,0.282,0.021
"VanMeter, Josh",642165,2020,0.222,0.294,-0.072
"Torrens, Luis",620443,2020,0.307,0.318,-0.011
"Senzel, Nick",669222,2020,0.26,0.294,-0.034
"Tejeda, Anderson",660731,2020,0.306,0.252,0.054
"Velazquez, Andrew",623205,2020,0.231,0.242,-0.011
"Arozarena, Randy",668227,2020,0.422,0.369,0.053
"Lowe, Nathaniel",663993,2020,0.314,0.3,0.014
"Dietrich, Derek",518618,2020,0.351,0.376,-0.025
"Díaz, Elias",553869,2020,0.281,0.309,-0.028
"Smith Jr., Dwight",596105,2020,0.289,0.263,0.026
"Garcia, Greg",594824,2020,0.243,0.239,0.004
"Machín, Vimael",605353,2020,0.25,0.338,-0.088
"Rojas, Josh",668942,2020,0.209,0.272,-0.063
"Farmer, Kyle",571657,2020,0.29,0.347,-0.057
"Lux, Gavin",666158,2020,0.259,0.266,-0.007
"Riddle, JT",595375,2020,0.174,0.253,-0.079
"Barrero, Jose",676480,2020,0.179,0.223,-0.044
"Mathis, Jeff",425772,2020,0.245,0.281,-0.036
"Guillorme, Luis",641645,2020,0.381,0.317,0.064
"Espinal, Santiago",669289,2020,0.282,0.283,-0.001
"Dyson, Jarrod",502481,2020,0.192,0.229,-0.037
"Andujar, Miguel",609280,2020,0.274,0.275,-0.001
"Tromp, Chadwick",644433,2020,0.264,0.235,0.029
"Starling, Bubba",605490,2020,0.204,0.223,-0.019
"Santana, Danny",542454,2020,0.23,0.281,-0.051
"García, Leury",544725,2020,0.326,0.327,-0.001
"Castro, Starlin",516770,2020,0.32,0.288,0.032
"Murphy, John Ryan",571974,2020,0.199,0.261,-0.062
"Hechavarría, Adeiny",588751,2020,0.271,0.244,0.027
"Avila, Alex",488671,2020,0.305,0.324,-0.019
"Jeffers, Ryan",680777,2020,0.346,0.349,-0.003
"Cervelli, Francisco",465041,2020,0.351,0.353,-0.002
"Chisholm Jr., Jazz",665862,2020,0.248,0.269,-0.021
"Pinder, Chad",640461,2020,0.299,0.325,-0.026
"Peterson, Jace",607054,2020,0.344,0.343,0.001
"Gallagher, Cam",595956,2020,0.344,0.297,0.047
"Bemboom, Anthony",621532,2020,0.324,0.294,0.03
"Díaz, Aledmys",649557,2020,0.307,0.287,0.02
"Cameron, Daz",663662,2020,0.212,0.22,-0.008
"Phillips, Brett",621433,2020,0.304,0.314,-0.01
"Lin, Tzu-Wei",624407,2020,0.16,0.198,-0.038
"Jay, Jon",445055,2020,0.199,0.275,-0.076
"Aquino, Aristides",606157,2020,0.285,0.311,-0.026
"Pence, Hunter",452254,2020,0.18,0.318,-0.138
"Davis, Chris",448801,2020,0.154,0.182,-0.028
"Greiner, Grayson",606988,2020,0.22,0.269,-0.049
"Arroyo, Christian",624414,2020,0.315,0.3,0.015
"Haggerty, Sam",664059,2020,0.311,0.311,0
"Vargas, Ildemaro",545121,2020,0.229,0.228,0.001
"Beaty, Matt",607461,2020,0.28,0.286,-0.006
"Heineman, Scott",595981,2020,0.197,0.241,-0.044
"Nottingham, Jacob",641924,2020,0.313,0.3,0.013
"Castro, Harold",605612,2020,0.369,0.33,0.039
"Sierra, Magneuris",642423,2020,0.307,0.296,0.011
"White, Eli",642201,2020,0.207,0.262,-0.055
"Cron, C.J.",543068,2020,0.376,0.361,0.015
"Benintendi, Andrew",643217,2020,0.241,0.278,-0.037
"Estrada, Thairo",642731,2020,0.212,0.25,-0.038
"Harrison, Monte",656509,2020,0.222,0.226,-0.004
"Adams, Matt",571431,2020,0.24,0.258,-0.018
"Zimmer, Bradley",605548,2020,0.299,0.282,0.017
"Heineman, Tyler",623168,2020,0.243,0.27,-0.027
"Drury, Brandon",592273,2020,0.162,0.267,-0.105
