"player_name","player_id","game_year","woba_denom","bbe","woba","est_woba","xwoba","sa_xwoba","xwobacon","sa_xwobacon"
"Díaz, Elias",553869,2021,370,279,0.33,0.318,0.324,0.323,98.2526362017681,97.7957763909936
"Díaz, Elias",553869,2022,376,267,0.284,0.274,0.287,0.285,88.8859929367738,88.1969942497304
"Díaz, Elias",553869,2023,522,368,0.314,0.296,0.298,0.301,131.290527296472,132.593045155894
"Narváez, Omar",553882,2020,126,69,0.262,0.269,0.261,0.253,20.2855980885008,19.3285934062595
"Narváez, Omar",553882,2021,442,313,0.322,0.304,0.314,0.304,107.091288894471,102.965973703314
"Narváez, Omar",553882,2022,293,206,0.269,0.268,0.275,0.29,58.9953099767037,63.2475251756822
"Narváez, Omar",553882,2023,144,104,0.259,0.31,0.325,0.312,37.0041815256941,35.1177143624288
"Astudillo, Willians",553902,2020,16,14,0.311,0.247,0.266,0.25,4.26126917905769,3.99674758761064
"Astudillo, Willians",553902,2021,215,196,0.272,0.28,0.29,0.29,57.4950856966041,57.5183802029436
"Astudillo, Willians",553902,2022,55,51,0.243,0.265,0.278,0.266,14.5895734269585,13.9353214811708
"Suárez, Eugenio",553993,2020,230,132,0.332,0.342,0.335,0.337,55.4253546496438,55.7084583737739
"Suárez, Eugenio",553993,2021,574,339,0.306,0.326,0.334,0.335,146.90882095983,147.216708576738
"Suárez, Eugenio",553993,2022,628,351,0.344,0.339,0.349,0.347,162.501963063495,161.00949307983
"Suárez, Eugenio",553993,2023,693,395,0.313,0.324,0.33,0.337,169.797217810395,174.523791752246
"Wheeler, Zack",554430,2021,68,34,0.153,0.118,0.148,0.153,10.070349375294,10.3801686140282
"Polanco, Gregory",570256,2020,174,95,0.232,0.301,0.298,0.287,42.7819860930443,40.806399732973
"Polanco, Gregory",570256,2021,378,238,0.275,0.316,0.325,0.316,97.5217436378052,94.3161316237351
"Santana, Domingo",570267,2020,84,45,0.271,0.307,0.312,0.316,16.3725104207755,16.7170998957633
"González, Erik",570481,2020,191,133,0.262,0.293,0.286,0.281,48.9867275349975,47.9895005872381
"González, Erik",570481,2021,227,179,0.244,0.277,0.288,0.274,59.8441856843856,56.5366574303712
"González, Erik",570481,2022,41,25,0.227,0.263,0.275,0.26,8.48985206026318,7.83986926114078
"Urshela, Gio",570482,2020,173,129,0.365,0.379,0.376,0.384,51.8083121059808,53.0460462272132
"Urshela, Gio",570482,2021,442,311,0.309,0.304,0.314,0.309,123.938587076712,121.955397311722
"Urshela, Gio",570482,2022,545,408,0.332,0.323,0.338,0.332,155.254358128641,152.041944346217
"Urshela, Gio",570482,2023,228,181,0.307,0.289,0.304,0.306,61.6995645248637,62.0891032521401
"Sánchez, Yolmer",570560,2020,21,11,0.48,0.393,0.387,0.468,4.62377689544431,6.3344013116983
"Sánchez, Yolmer",570560,2022,41,25,0.166,0.204,0.224,0.218,5.69159493625428,5.45804424482435
"Schoop, Jonathan",570731,2020,176,124,0.34,0.3,0.304,0.314,45.177417015663,46.9457898592613
"Schoop, Jonathan",570731,2021,673,496,0.324,0.311,0.321,0.328,186.017624906336,190.531694221198
"Schoop, Jonathan",570731,2022,505,374,0.245,0.268,0.285,0.284,127.156150801533,126.776805629627
"Schoop, Jonathan",570731,2023,151,101,0.249,0.276,0.292,0.293,35.0325402860401,35.0991414199017
